
Tijdstip,Apparaat Temperatuur (°C),Temperatuur (°C),Luchtdruk (hPa),Luchtvochtigheid (%),Lichtintensiteit (lux),Windsnelheid (m/s),Windrichting (graden)
2025-03-13 12:12:03,nvt,nvt,nvt,nvt,nvt,nvt,nvt
2025-03-13 12:12:13,23.06,15.56,642.07,64.74,1255.41,nvt,270
2025-03-13 12:12:23,40.08,32.58,996.88,11.63,612.91,0.19,270
2025-03-13 12:12:33,40.1,32.6,996.92,11.59,606.6,0.52,270
2025-03-13 12:12:43,40.2,32.7,996.86,11.69,439.2,0.24,270
2025-03-13 12:12:53,40.02,32.52,996.92,11.66,589.32,0.09,270
2025-03-13 12:13:03,39.9,32.4,996.88,11.7,576.36,nvt,270
2025-03-13 12:13:14,39.95,32.45,996.85,11.69,569.16,nvt,270
2025-03-13 12:13:24,40.12,32.62,996.85,11.6,565.39,0.14,225
2025-03-13 12:13:34,40.15,32.65,996.9,11.53,567.16,0.19,225
2025-03-13 12:13:44,40.11,32.61,996.88,11.58,558.19,0.24,225
2025-03-13 12:13:54,39.83,32.33,996.87,11.65,561.4,0.33,225
2025-03-13 12:14:04,39.83,32.33,996.88,11.68,552.76,0.05,225
2025-03-13 12:14:14,39.78,32.28,996.87,11.71,542.9,nvt,225
2025-03-13 12:14:24,39.72,32.22,996.86,11.78,547.55,0.14,225
2025-03-13 12:14:34,39.71,32.21,996.88,11.79,544.34,0.38,225
2025-03-13 12:14:45,39.84,32.34,996.84,11.73,540.57,0.1,225
2025-03-13 12:14:55,40.01,32.51,996.87,11.69,543.79,0.09,270
2025-03-13 12:15:05,40.15,32.65,996.83,11.62,546.33,0.28,270
2025-03-13 12:15:15,40.15,32.65,996.82,11.56,551.87,0.05,270
2025-03-13 12:15:25,40.19,32.69,996.82,11.53,554.75,nvt,270
2025-03-13 12:15:35,40.1,32.6,996.87,11.58,557.97,nvt,270
2025-03-13 12:15:45,39.97,32.47,996.86,11.6,562.51,nvt,270
2025-03-13 12:15:55,39.86,32.36,996.86,11.7,565.72,nvt,270
2025-03-13 12:16:05,39.89,32.39,996.84,11.73,566.28,0.05,270
2025-03-13 12:16:15,40.07,32.57,996.86,11.65,567.72,nvt,270
2025-03-13 12:16:25,40.07,32.57,996.84,11.62,575.25,0.05,270
2025-03-13 12:16:35,40.2,32.7,996.85,11.48,576.36,nvt,270
2025-03-13 12:16:46,40.0,32.5,996.83,11.59,580.34,nvt,270
2025-03-13 12:16:56,39.9,32.4,996.86,11.7,584.11,nvt,270
2025-03-13 12:17:06,39.83,32.33,996.86,11.78,587.88,nvt,270
2025-03-13 12:17:16,39.75,32.25,996.85,11.84,589.65,nvt,270
2025-03-13 12:17:26,39.74,32.24,996.88,11.87,584.66,0.19,270
2025-03-13 12:17:36,39.81,32.31,996.88,11.85,583.89,0.57,270
2025-03-13 12:17:46,39.93,32.43,996.85,11.75,579.79,1.04,270
2025-03-13 12:17:56,40.1,32.6,996.87,11.69,579.9,1.04,270
2025-03-13 12:18:06,40.09,32.59,996.88,11.69,576.69,0.95,270
2025-03-13 12:18:17,39.95,32.45,996.87,11.75,576.69,1.09,270
2025-03-13 12:18:27,39.9,32.4,996.86,11.75,579.02,0.86,270
2025-03-13 12:18:37,39.98,32.48,996.89,11.69,580.12,0.76,270
2025-03-13 12:18:47,40.0,32.5,996.88,11.65,583.0,0.28,270
2025-03-13 12:18:57,39.88,32.38,996.9,11.72,584.44,0.29,270
2025-03-13 12:19:07,39.82,32.32,996.83,11.73,570.36,1.15,270
2025-03-13 12:19:17,39.65,32.15,996.85,11.88,583.56,1.28,270
2025-03-13 12:19:27,39.62,32.12,996.88,11.92,581.45,1.24,270
2025-03-13 12:19:37,39.73,32.23,996.88,11.87,583.56,1.52,270
2025-03-13 12:19:47,39.58,32.08,996.86,11.88,581.56,1.47,270
2025-03-13 12:19:57,39.58,32.08,996.85,11.92,567.72,1.76,270
2025-03-13 12:20:08,39.55,32.05,996.86,12.0,669.2,1.34,180
2025-03-13 12:20:18,39.35,31.85,996.89,11.31,678.92,0.85,180
2025-03-13 12:20:28,39.13,31.63,996.87,11.29,672.32,0.71,180
2025-03-13 12:20:38,38.86,31.36,996.83,11.33,668.65,0.86,135
2025-03-13 12:20:48,38.36,30.86,996.84,11.52,658.76,1.33,270
2025-03-13 12:20:58,38.04,30.54,996.78,11.45,597.11,1.19,270
2025-03-13 12:21:08,37.79,30.29,996.85,11.69,599.05,0.95,270
2025-03-13 12:21:18,37.77,30.27,996.83,12.02,627.75,0.66,180
2025-03-13 12:21:28,37.73,30.23,996.84,12.19,618.08,0.66,180
2025-03-13 12:21:38,37.45,29.95,996.83,12.04,613.75,0.9,180
2025-03-13 12:21:49,37.46,29.96,996.84,12.27,557.4,1.05,180
2025-03-13 12:21:59,37.51,30.01,996.83,12.79,492.83,0.95,180
2025-03-13 12:22:09,37.7,30.2,996.83,12.97,470.68,0.81,180
2025-03-13 12:22:19,37.54,30.04,996.85,13.35,308.91,1.61,180
2025-03-13 12:22:29,37.62,30.12,996.85,13.01,493.94,1.61,180
2025-03-13 12:22:39,37.66,30.16,996.83,13.07,323.88,1.42,180
2025-03-13 12:22:49,37.64,30.14,996.85,12.84,457.05,1.0,180
2025-03-13 12:22:59,37.66,30.16,996.85,12.87,517.42,0.62,180
2025-03-13 12:23:09,37.68,30.18,996.83,12.87,514.75,0.24,180
2025-03-13 12:23:20,37.93,30.43,996.8,12.79,449.51,nvt,180
2025-03-13 12:23:30,38.04,30.54,996.82,12.81,504.12,0.14,180
2025-03-13 12:23:40,38.06,30.56,996.79,12.7,551.14,0.33,180
2025-03-13 12:23:50,38.03,30.53,996.81,12.39,563.55,0.24,180
2025-03-13 12:24:00,37.69,30.19,996.81,11.76,562.39,0.28,180
2025-03-13 12:24:10,37.45,29.95,996.79,11.89,570.39,0.38,180
2025-03-13 12:24:20,37.37,29.87,996.82,12.5,526.94,0.57,180
2025-03-13 12:24:30,37.6,30.1,996.81,12.75,517.75,0.09,180
2025-03-13 12:24:40,37.7,30.2,996.84,12.78,524.62,nvt,180
2025-03-13 12:24:50,37.94,30.44,996.79,12.92,524.62,0.19,180
2025-03-13 12:25:01,37.87,30.37,996.8,12.87,522.96,0.85,180
2025-03-13 12:25:11,38.03,30.53,996.79,12.65,519.52,0.62,180
2025-03-13 12:25:21,38.22,30.72,996.85,12.4,517.53,0.48,180
2025-03-13 12:25:31,38.38,30.88,996.83,12.34,512.32,0.72,180
2025-03-13 12:25:41,38.41,30.91,996.84,12.36,508.89,0.43,135
2025-03-13 12:25:51,38.53,31.03,996.82,12.3,506.9,0.43,180
2025-03-13 12:26:01,38.7,31.2,996.82,12.19,503.68,0.43,180
2025-03-13 12:26:11,38.62,31.12,996.81,12.02,504.57,0.28,180
2025-03-13 12:26:21,38.61,31.11,996.83,12.14,502.24,0.05,180
2025-03-13 12:26:31,38.64,31.14,996.83,12.18,501.69,nvt,180
2025-03-13 12:26:42,38.63,31.13,996.84,12.3,500.8,nvt,180
2025-03-13 12:26:52,38.67,31.17,996.84,12.31,493.6,0.76,180
2025-03-13 12:27:02,38.66,31.16,996.85,12.33,494.49,0.9,135
2025-03-13 12:27:12,38.72,31.22,996.85,12.29,491.83,0.57,180
2025-03-13 12:27:22,38.73,31.23,996.85,12.3,490.72,0.29,180
2025-03-13 12:27:32,38.88,31.38,996.84,12.2,488.73,0.24,180
2025-03-13 12:27:42,38.95,31.45,996.84,12.15,491.06,0.05,180
2025-03-13 12:27:52,38.89,31.39,996.86,12.17,491.06,0.14,180
2025-03-13 12:28:02,38.9,31.4,996.84,12.17,491.06,nvt,180
2025-03-13 12:28:12,38.88,31.38,996.86,12.18,490.72,0.05,180
2025-03-13 12:28:22,39.0,31.5,996.83,12.1,493.6,nvt,180
2025-03-13 12:28:33,39.13,31.63,996.86,12.01,491.83,nvt,180
2025-03-13 12:28:43,39.21,31.71,996.89,11.95,492.16,nvt,180
2025-03-13 12:28:53,39.22,31.72,996.88,11.9,493.94,nvt,180
2025-03-13 12:29:03,39.25,31.75,996.88,11.89,494.82,nvt,180
2025-03-13 12:29:13,39.02,31.52,996.84,12.18,493.38,nvt,180
2025-03-13 12:29:23,38.85,31.35,996.86,12.19,493.38,nvt,180
2025-03-13 12:29:33,38.81,31.31,996.9,12.17,492.5,nvt,180
2025-03-13 12:29:43,38.78,31.28,996.87,12.22,494.82,0.1,180
2025-03-13 12:29:53,38.69,31.19,996.87,12.27,496.48,0.76,180
2025-03-13 12:30:04,38.6,31.1,996.86,12.3,501.14,0.85,180
2025-03-13 12:30:14,38.57,31.07,996.84,12.36,505.12,0.62,180
2025-03-13 12:30:24,38.6,31.1,996.86,12.36,508.89,0.14,180
2025-03-13 12:30:34,38.43,30.93,996.84,12.5,514.65,0.14,180
2025-03-13 12:30:44,38.45,30.95,996.86,12.56,516.64,0.38,180
2025-03-13 12:30:54,38.59,31.09,996.82,12.43,520.08,0.14,180
2025-03-13 12:31:04,38.82,31.32,996.85,12.27,520.63,0.09,180
2025-03-13 12:31:14,38.95,31.45,996.85,12.16,522.96,0.48,180
2025-03-13 12:31:24,38.97,31.47,996.84,12.13,523.73,0.62,180
2025-03-13 12:31:34,39.06,31.56,996.88,12.09,522.96,0.62,180
